job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
7132,Health + Environmental Professional,"US, CA, Bakersfield",Oil & Energy,60000-90000,"                                                                                 Staffing &amp; Recruiting done right for the Oil &amp; Energy Industry!Represented candidates are automatically granted the following perks: Expert negotiations on your behalf, maximizing your compensation package and implimenting ongoing increases Significant signing bonus by Refined Resources (in addition to any potential signing bonuses our client companies offer)1 Year access to AnyPerk: significant corporate discounts on cell phones, event tickets, house cleaning and everything inbetween.  You'll save thousands on daily expenditures Professional Relocation Services for out of town candidates* All candidates are encouraged to participate in our Referral Bonus Program ranging anywhere from $500 - $1,000 for all successfully hired candidates... referred directly to the Refined Resources teamPlease submit referrals via online Referral FormThank you and we look forward to working with you soon!  [ Click to enlarge Image ]","Health &amp; Environmental Professional Bakersfield, CAThis position monitors, analyzes, recommends, and implements systems to improve integration of environmental compliance and business success. This position is part of the HSE team, and requires a person that is team oriented, and someone who is looking to share their knowledge while seeking new opportunities within and outside of the environmental specialty. Work Environment: This position works in office and field environments supporting operations, drilling, production, and construction. The working conditions for this position vary and maybe hazardous and/or unpleasant at times. The individual filling this position will be exposed to weather and temperature extremes, dust, oil, and other environmental factors.Responsibilities:Makes recommendations and implements programs for handling environmental issues in full compliance with applicable regulations.Application of ISO 14000 Environmental Management Systems.Produces written documents with clearly organized thoughts using proper sentence construction, punctuation, and grammar.Enter data or information into a computerized maintenance management system.Work safely and communicate a commitment to work safely to others.Be the environmental champion and liaison with:PersonnelContractorsConsultantsRegulatory agency representativesManages the Environmental Compliance Action Plan.Ensures environmental records management process meets agency requirements and uses resources effectively.Regularly performs Process Hazard Analysis and participates in investigations.Manages projects and timely communicates problems and achievements.Meets regularly with employees and contractors.Oversees and performs environmental inspections, audits, and sampling.Ensures appropriate environmental training is completed.Assists in completing and submitting agency submissions.Assists in the review and reporting of the impact of environmental regulatory change on the business.Demonstrates focus on continuous improvement and environmental sustainability systems.Participates in the HES Committee.","QualificationsMinimum Education, Knowledge &amp; Experience:Bachelor’s degree in Environmental Science, Environmental Engineering, Environmental Planning, or a related field (biology, geology, hydrology, chemistry, natural resources, etc.). Another degree may be acceptable with experience in environmental compliance.Experience in the field of environmental compliance is preferred.Demonstrable experience in the application of environmental laws/regulations preferred.Experience with the following agencies and programs is desirable:SJVACD, CARB, BLM, DOGGR, EPA.Hazardous and non-hazardous waste, air permitting and testing   (Title V), wastewater disposal, spill response (SPCC), biological surveys, and resource management.Has or is working toward an environmental certification listed by NREP is highly desirable.Knowledge and prior use of Microsoft Office programs including intermediate knowledge of Microsoft Excel, Power Point, and Word. Microsoft SharePoint experience is a plus.  ","What is offered:Competitive compensation package100% matched retirement fundAnnual vacations paid for by companySignificant bonus structureOpportunity for advancement Full benefits packageAnnual performance reviews and base salary increasesAnnual cost of living increases Sound, clean, safe and enjoyable working environment &amp; Company CultureWorld renound management and executive team who promote from within, leverage careers and invest in employees for the long-term success of their careers and overall company/employee goalsQualified candidates contact: Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#                                                                                                                                                   ",0,1,1,Full-time,Entry level,Bachelor's Degree,Oil & Energy,Other,1
1519,SAP Support Advisor,"US, TX, Houston",Aker Solutions Inc.,,"Aker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.","Corporate overviewAker Solutions is a global provider of products, systems and services to the oil and gas industry. Our engineering, design and technology bring discoveries into production and maximize recovery from each petroleum field. We employ approximately 28,000 people in about 30 countries. Go to #URL_0fa3f7c5e23a16de16a841e368006cae916884407d90b154dfef3976483a71ae# for more information on our business, people and values.Aker Solutions is a leading global provider of engineering and technology, products and service solutions to the Oil &amp; Gas industry.At Aker Solutions we offer an ocean of opportunities. Our people are our biggest asset and our business relies on their abilities to win projects and execute them to the highest standards. We are committed to developing our people’s capabilities through challenging tasks supported by excellent training and development opportunities.All our major achievements are team efforts. We are looking for dedicated team players who like to be part of a winning team, who meet challenges head on to serve our customers’ needs.This particular job function, in close liaison with the SAP Support Manager, will provide the technical and business expertise required to maintain an efficient SAP support organisation through the provision of training and the provision of a SAP dedicated helpline.Responsibilities and tasks•Aid the SAP Support Manager to maintain an efficient SAP support structure for end users within the organisation.•Aid the SAP Support Manager to provide a SAP dedicated helpline answering technical and business queries across all business units in Aberdeen. •Deliver training to SAP Super Users and deputies for all business processes.•Aid the SAP Support Manager to ensure that SAP Super Users are supported and developed to competently provide training and coaching within their prescribed SAP module.•Aid the SAP Support Manager to ensure SAP Super Users provide the necessary coaching for employees as required by the needs of the business.•Aid the SAP Support Manager to maintain the SAP support organisation structure on eNet.•Aid the SAP Support Manager to ensure that SAP Support Users are aware of the escalation routes for system issues / faults and any SLA’s agreed.•Aid the SAP Support Manager to maintain a library of current SAP modules, ready and available as ‘training material’ within the business.•Aid the SAP Support Manager in providing routine reports and MOR’s to senior management detailing SAP Issues / faults summary, resolution, outstanding cases, training summary and performance.•Aid the SAP Support Manager to maintain SAP support pages within ‘Knowledge Base’.•As necessary, perform other duties, requiring essentially the same level of skill &amp; responsibility when required.These responsibilities may from time-to-time require travel to other Aker Solutions Inc US and overseas sites and supplier sites.","Qualifications &amp; personal attributesHND/Degree or equivalent in relevant discipline.Demonstrable relevant experience of working with SAP preferably within the Oil &amp; Gas industry.Experience of delivering training courses.Ability to motivate others to take ownership of processes within their discipline areasWe offer• Friendly colleagues in an industry with a bright future.• An environment where you are encouraged to develop your skills and share your knowledge with your colleagues.• Competitive benefits and strong focus on work-life balance.If you would like to join us on our journey, take a position with Aker Solutions, the preferred partner.",,0,1,0,Full-time,,,Oil & Energy,Administrative,1
2052,Maintenance Supervisor ,"US, OH, Cincinnati",Maintenance,,"Bradley Contracting Group Corporation offers a wide range of B2B services through a plethora of different small business entities. We have sectors in many different industries. Our main objective is to harness contracts with as many different small businesses, and corporations in the Cincinnati Tri-State Area, and in the southern ohio region.Bradley Contracting Group Corporation has been around for almost 5 years doing work in different cities for various clients. We've worked out of Louisville Ky, Charlotte NC, and Atlanta GA. As of November 2013 we've established ourselves as transportation and courier service. Some clients of note are FedEx Ground, and HHGreg. As a result of our own diligence and dedication to excellence we're also looking to expand into other markets as well as obtain contracts with Lowes, Best Buy, the City of Cincinnati, the State of Ohio, and many different schools and districts of schools as well. We're in excellent standing with the State of Kentucky and a registered Foreign entity with the State of Ohio. We're temporarily stationed out in Hamilton, Ohio within our transportation and warehousing facility we've recently acquired. Our main focus is to establish a reputation of excellence, diligence, and innovation. If you feel you can live up to our motto, ""Excellence no excuses."", we'd love to have you as a part of our team!","The maintenance supervisor is responsible for planning, overseeing and reporting the work of maintenance staff to ensure safe and efficient operations of the facility.  Responsible for making sure maintence staff and groundskeepers are tasked with the upkeep of buildings, grounds and any materials or machinery needed to maintain the facility.  Weekly logs and reports of daily maintenance issues must be kept and recorded.  In addition to directing the work of subordinates, the maintenance supervisor may also be required to assist with maintenance duties, or take over if a maintenace worker is absent or unavailable.","Experience in maintenance, creating reports, and prior supervising experience is strongly preffered. ",,0,1,1,Full-time,,,,,1
3180,Home Based Payroll Data Entry Clerk Position - Earn $100-$200 Daily ,GB,,,,"We are a full-service marketing and staffing firm, serving companies ranging from Fortune 100 to new start-up organizations. We work with job seekers in an equally broad range, from light industrial temporary workers to executive level candidates.Are you looking for a Work from Home Opportunity where you can earn up to $2500 and more per week? Our Online Service Representative position would be perfect for you!- Set your own hours - Make money every time you decide to work - Work remotely from home - Get paid weekly - If you have a computer with internet, this is for you","RequirementsAll you need is access to the Internet and you can participate. Computer with Internet access, valid email address, good typing skills   ","This is an entry level position and we offer full online training. You do NOT need any special skills to get started.Earn as much as you can doing data entry.  Complete Training provided before you start working and it’s easy to start!  ________________________________________Don’t let this opportunity pass you by.POSITIONS ARE STILL AVAILABLE - GET STARTED RIGHT NOWIf you fit the above description and meet the requirements, please apply stating your locationApply at: #EMAIL_3720fb437cf9ea0fba89dddcb596c3afd772be237f383163a3d18e00e4c65595#",0,0,0,,,,,,1
17331,Administrative,"US, NJ, Trenton",,,,"The administrative assistant will be responsible for providing clerical and administrative support.Operates in a manner that ensures compliant, ethical practices. Good verbal, written and interpersonal skills. Strong organizational skills, attention to detail and accuracy. Strong negotiation skills.","Strong written and spoken communication #URL_faedcd694481343c9a9e145c5f7ab5784f7385d1437fb5e7a0348cc1179484a6# ability managing multiple priorities and systems in a fast-paced environment. Self-directed and #URL_b436b03401b881b726656ad50ef808062ca24f86851e7367ecbe9e88067a00e0# in the use of Microsoft Office, i.e. Word, Excel and Outlook. Must be organized with strong verbal and written skills.",,0,0,1,,,,,,1
2786,Assistant Accountant/immediate start,"CA, ON, Toronto",,35000-40000,,"Our organisation is seeking students / graduates with a finance, business or commerce related degree qualifications. We want to hear from you if you are seeking experience in genuine, professional environments. We have several exceptional positions available for immediate start. You will be degree qualified or partially through your degree with good attention to detail as well as good communication skills. You will also have strong organisational skills, a willingness to learn coupled with exceptional numerical skills.Position: You will ultimately be responsible for supporting the accounting team in general finance admin responsibilities. This will include high volume data entry that will require phenomenal attention to detail and strong Excel skills. You will be responsible for working proactively to investigate and resolve queries with internal stakeholders.",Requirements: You must have commenced either your CA or CPA studies Excellent communication and interpersonal skills are essential Exposure to purchase ledger reporting &amp; a demonstrable understanding of basic accounting principlesLarge ERP system exposure is definitely advantageousComputer literateAbility to work under pressure and meet deadlinesHigh level attention to detail including strong numeracy skillsA mature and logical approachProblem solving skills,"Get trained and get paid for it. Flexible hours, 20 hrs per a week. If you are interested in this opportunity, please send your CV.",0,0,0,Part-time,,,Accounting,,1
174,Technician Instrument & Controls ,US,Power Plant & Energy,,"Edison International and Refined Resources have partnered up in an effort to streamline the hiring process and provide a more efficient and effective recruitng model.  Our focus is to help develop and achieve your career goals while makeing a solid geographical, cultural and professional fiit when leveraging your career into your new and exciting professional venture!Please direct all communications to the HR Department within Refined Resources (#URL_80d75e0d07ca8b108539318a0443bfe5d1ff472afa0c4540b77079c5d5f31eee#) #EMAIL_0b13a2cfd4718ce252c09b2353d692a73bd32552e922c5db6cad5fb7e9a2c6c3#Darren Lawson | VP of Recruiting | #EMAIL_395225df8eed70288fc67310349d63d49d5f2ca6bc14dbb5dcbf9296069ad88c# | #PHONE_70128aad0c118273b0c2198a08d528591b932924e165b6a8d1272a6f9e2763d1#","Technician Instrument &amp; ControlsLocation Deweyville, TXLocation Name: NRG Cottonwood EnergyCategory: MaintenanceState/City: US-TX-DeweyvilleType: Full Time Hourly# Openings: 1Details About this Career Opportunity:Overview:Company Profile:We deliver cleaner and smarter energy choices for our customers, backed by the nation’s largest independent power generation portfolio of fossil fuel, nuclear, solar and wind facilities. A Fortune 500 company is challenging the U.S. energy industry by becoming the largest developer of solar power, building the first privately-funded electric vehicle charging infrastructure, and providing customers with the most advanced smart energy solutions to better manage their energy use. In addition to 47,000 megawatts of generation capacity, enough to supply nearly 40 million homes, our retail electricity providers serve more than two million customers.GENERAL SUMMARYThe Instrumentation Controls and Electrical Technician (IC&amp;E) is responsible for the maintenance and repair of all instruments, control systems and electrical equipment in the power plant and the associated facilities. The IC&amp;E Technician performs work of high skill in the inspection repair, testing, adjustment, installation and removal of all electronic and electrical power plant equipment and systems.PRIMARY FUNCTIONS-Safely perform preventive and corrective maintenance on all plant equipment, systems, and emergency backup systems.-Maintain complete equipment files, logs, and drawings for all designated equipment.-Assist in maintaining and controlling spare parts inventory to maintain plant reliability. Assist in physical inventories.-Participate in the administrative maintenance of the plant operating manuals, technical references, prints and diagrams and preventive/predictive maintenance records.-Inspect repair, install and remove all types of motors, generators, transformers, switches, control equipment, wiring, electrical signal and communication systems, and storage batteries, and work with electrical systems up to and including 4160 volts.-Conduct trouble shooting and analysis on DCS, PLC and GE Mark VI turbine control equipment.-Maintain all plant instrumentation and electrical test equipment.-Fully support and participate in NAES Safety and Regulatory Compliance Programs.-Complete other tasks as assigned by the Maintenance Manager or the Plant Manager.SCOPE OF RESPONSIBILITYThe IC&amp;E Technician operates from established and well-known procedures under minimum supervision, performing duties independently with only general direction given. Decisions are made within prescribed operating and casualty procedures and guidelines. The ICE Technician encounters recurring work situations of high complexity, with occasional variations from the norm.The IC&amp;E Technician must perform work in a safe manner resulting in no accidents, in compliance with all environmental permits at all times. The ICE Technician must effectively communicate information to supervision and fellow plant personnel, relative to the condition of the plant equipment and performance, and provide suggestions for plant improvements. The ICE Technician must perform duties in such a way to result in an optimum cost-benefit ratio.The IC&amp;E Technician may also be assigned the additional responsibility of Maintenance Coordinator/Planner for the site. This is a collateral assignment given to a selected maintenance department technician to assist the Operations and Maintenance Manager with the routine planning and coordination of the site equipment maintenance.The duties include:-The planning and review of the preventative, predictive and pro-active type maintenance.-A more in-depth knowledge and ability to use the CMMS system to provide the necessary review and planning to support the O&amp;M Manager in weekly work routines.-Ability to provide the cognitive coordinated efforts necessary to ensure that weekly routines and preventative maintenance are scheduled and documented as complete when the respective maintenance technician indicates that the work has been performed.-Provide the coordination efforts necessary in support of allowing the O&amp;M Manager to provide the necessary supervision and direction of the maintenance technicians.All employees have the responsibility to both the customer and their co-workers to do the job right the first time and to ensure the customers' needs are being met.","JOB QUALIFICATIONS-Ability to understand procedures and instructions specific to the area of assignment as would be acquired in four years of high school.-Graduation from an accredited Instrument Technician Program and minimum two years’ work experience as a technician in a related industry desirable.-Four years work experience as a technician with increasing responsibility in a related industry may be substituted for the above requirement.-Experience in working with voltages up to 4160 volts highly desirable.-Must have excellent oral and written communication skills. Ability to work well with others and be self-directed, as well as apply creative solutions to unique I&amp;E problems is desirable.-Must be able to work from blueprints.-Must be skilled in the use of hand and power driven tools.-Must be proficient in computers and computer software such as MS Office, Excel, and Word; Networking, hardware, and current security requirements for NERC Compliance.Qualifications:Title/Salary Commensurate on ExperienceOfficial description on file with Human Resources","we are a team of almost 8,000 employees who help power almost 40 million homes and have more than 2 million residential and business customers across the country. Together, we are powering progress every day—from California to Texas and New Jersey to Arizona.",0,1,1,Full-time,Mid-Senior level,Certification,Electrical/Electronic Manufacturing,Other,1
17607,Assistant Accountant for immediate start,"AU, NSW, Sydney",,35000-40000,,"A active and dynamic recruitment company, seeking a Assistant Accountant. We are looking for communicative and motivated employees for immediate start. Only excellent candidates need apply as this is a permanent position with the for significant promising career. Optical Training will be provided, but you must be eager to learn and have the ability to work effectively in a our environment from your first day.","The responsibilities of this role will include:- Monthly reporting - Administrative duties involved with accounting- Finalising credit applications - Other tasks as requested by management As the Assistent Accountant you will be primarily responsible for providing support to the Financial Assistant, Requirements:  • possible without experience  • Must be self-sufficient  • Computer skills (Microsoft Excel,Word and Outlook)  • An ability to handle multiple tasks","Get trained and get paid for it. Flexible hours, 20 hrs per a week. If you are interested in this opportunity, please send your CV.",0,0,0,Part-time,,,Accounting,Accounting/Auditing,1
5586,Urgently Required System Administrator for  Bahrain,"BH, 13, ",Information Technology ,,,"Greetings from VAM SYSTEMS…..VAM SYSTEMS is a Business Consulting, IT Solutions and Services company with operations in UAE, Qatar, Bahrain, USA, Australia, Singapore &amp; India. We offers a comprehensive list of services in the field of IT infrastructure management, Cloud services, IT Consulting Services, Banking, Management Resources, Information Technology Development, Telecom, Aviation, Retail Management &amp; eGovernment offerings.VAM SYSTEMS is currently looking for System Administrator for our Bahrain operations.Certifications:-MCSA and vmware certification.Experience required: 5+ yearsTerms and conditions: Joining time frame: 2 weeks (maximum 1 month).The selected candidates shall join VAM SYSTEMS – Bahrain and shall be deputed to one of the leading organizations in Bahrain.Should you be interested in this opportunity, please send your latest resume in MS Word format at the earliest at #EMAIL_b08cf5e4101b4b7b7594fe3081f94f7f9a0f2d6192fb5d4a1a72ecf03c816e83# or call us  #PHONE_18a826c883d3d597793b4d350191430bd42ce0b93fe27a781a52e8a89e9ba78f#.          ",,"Skill Set required:          Strong Experience in system administration.Should have experience in VMware, Win 2003 &amp; 2008, Linux servers, IBM Blade center, VMware, High Availability, DRS, vMotion and Storage.·         Experience in EMC Symmetrix, DMX and VMAX storage arrays, Symantec BackupExec 2010, IBM Tivoli Storage, SCCM 2007, exchange server 2010.",0,0,0,,,,,,1
17816,"Urgent Cash Jobs, Part Time & Full Time.","US, CA, Los Angeles",,,,"Urgent Cash Jobs, Part Time &amp; Full Time.No Experience Required And Never Any Fees.Work Anytime 1 To 2 Hrs Daily In Free Time.Earn Easily $400 To $500 Extra Per Day.Totally Free To Join &amp; Suitable For All.Take Action &amp; Get Started Here:-#URL_3642a95d0b2308884802999b8ba4f004b69950c970d00995af84c2270b7b570c#",Work Anytime 1 To 2 Hrs Daily In Free Time.,Totally Free To Join &amp; Suitable For All.,0,0,0,Part-time,,,,,1
4579,Service Associate,"US, TX, Arlington ",Financial Dept,28000-35000,"The Accion  story began more than 100 years ago in the Austin,Tx with one family owned establishment. Today, Accion  has grown into a nationwide Organazation with over 260 stores. Accion success is attributed to our unique niche in the market offering current   finance option at competitive prices paired with customer service and a personal shopping experience. Join the Accion story today!","       Welcome and greet customers, modeling a positive customer service spirit, exhibiting a friendly and helpful attitude with customers and associates.Answer customer questions regarding products and services; assist customers with buying decisions.Operate cash registers to complete customer transactions.Display merchandise and maintain a clean shopping area to maximize store appeal.Assist in the receiving and of new merchandise from vendors.Prepare merchandise for the selling floor.Assist in minimizing loss of company assets.Contribute to team efforts.","                                                   1 year applicable retail/customer service work experience is a plus. Enjoys teamwork and encourages cooperation while working with others. Demonstratedability to communicate effectively. Attentionto detail and accuracy. Light-to-moderate physical effort required; Sitting, standing and walking will constitute 90% or more of a work shift to include stooping, kneeling and lifting. Abilityto work a flexible work schedule, including some nights and weekends.","401K, HEALTH CARE PLAN , DENTAL , LIFE INSURANCE , MONEY MARKETING PLAN                                                                      ",0,1,1,Full-time,Entry level,High School or equivalent,Financial Services,,1
4805,Administration,"GB, LND, london",,2500-5000,,We are looking for workers with the suitble responsibilities.Assist with preparation of the budgetImplement financial policies and proceduresPrepare and reconcile general bank statementsEstablish and maintain supplier accountsEnsure data is entered into the systemEnsure transactions are properly recorded and entered into the computerizedaccounting systemPrepare income statementsPrepare balance sheetsAssist with the annual auditMaintain financial files and records.,Cv/Resume,,0,0,1,Full-time,Not Applicable,Unspecified,Construction,,1
2010,Java Developer,"US, CA, California",Technology,,,"Director of Quality AssuranceNomis is searching for a Director of Quality Assurance to lead our Quality Engineering group and own the quality and consistency of product development, customer implementation, and operations.Who We Are &amp; What We BuildOur top-notch people, proven Hadoop technology stack, and complex analytics are tackling big data challenges at banks every day to deliver mission critical customer, pricing, and product mix insights that benefit banks and their customers. Our vision is to transform consumer banking and play quite a bit of table tennis along the way.Who You AreYour middle name is Quality, and you are obsessed with continuously raising the bar. You are a hands-on, inspirational leader that balances thoroughness, efficiency, and tight timeframes. You are passionate about building a world-class Quality Engineering group and improving banking – there is a lot to be done.ResponsibilitiesUnify and own quality engineering across products, implementations, and operationsMentor a team of on/offshore quality engineers, create a pervasive quality culture, and gamify testingDefine an analytic testing methodology that includes synthetic data sets, expert models, and vertical configurationPartner with other teams to continuously adapt testing to meet constraints while maximizing its utilityEstablish metrics to benchmark product quality against non/functional requirements and customer satisfactionContinually innovate and automate a robust and rapid testing infrastructure","Desired Skills &amp; Experience10+ years experience in a software quality/testing role, with 3+ years as an architect/hands-on managerDeep expertise testing web-based, enterprise software powered by data and complex analyticsHigh comfort working with Selenium, JMeter, Java, and Ant (or other scripting languages)Strong knowledge of relational databases (SQL or similar) and exposure to non-relational technologiesOperational understanding of statistical concepts and applications",,0,0,0,Full-time,Internship,Professional,Accounting,Customer Service,1
17829,Sales Associate,"AU, NSW, Sydney",Sales and Marketing,,,LEARN TO EARN AN EXECUTIVE LEVEL INCOMEFULL TRAINING AND SUPPORT FROM EXPERIENCED PROFESSIONALSWORK FROM HOME Create a life you deserve. Have you always wanted a better work/life balance?   Start part time or full time.,"What You Can Do. • Have the potential to earn an executive level income part time or full time.• Have full training &amp; support from experienced professionals• Work from home with your laptop &amp; phone• Work in the Leadership Development / Personal Development Industry• Work with a simple 3 step system• Have fun, be rewarded and involved. If You  • Have a professional manner &amp; positive outlook• Have the ability to work autonomously / self motivated• Have the motivation to create success for yourself &amp; your family• Have the ability to see yourself capable of making an executive level income ","Who We Are We are a Global Leadership Development company servicing customers in over50 countries. We require talented sales professionals to keep up with thedemands of our products in the market place. While no experience is necessary,as we offer full training to qualified candidates, it will be important that youconduct yourself in a professional and positive manner.",0,0,1,,,,,,1
17602,Payroll Clerk,"US, NY, New York",,,,We are seeking a full time payroll clerk to manage day to day accounting for our operation. PAY SCALE : $30/hrResponsibilities will include- Balancing of company accounts- Processing of weekly payroll- Processing of company credit cards- Processing of Rebates- Overall company record keeping,"•    High school diploma or equivalent•    Excellent communication and organizational skills.•    Ability to work a flexible schedule•    Ability to perform mathematical calculations such as addition, subtraction, multiplication, division, and #URL_967146c5ba8def741508918e18619342733ffa7badf480c1fe4709f3a75385ae# Trends is a great place to build a fun and rewarding career in retail management! We believe in promoting from within, so, rest assured, if you show the initiative, there'll be plenty of room to develop your career. We offer a competitive salary and benefits package that includes health and dental insurance, paid vacation, a 401(k) plan, paid training, and much more. Ready for some rapid growth of your own.","Citi Trends is a great place to build a fun and rewarding career in retail management! We believe in promoting from within, so, rest assured, if you show the initiative, there'll be plenty of room to develop your career. We offer a competitive salary and benefits package that includes health and dental insurance, paid vacation, a 401(k) plan, paid training, and much more. Ready for some rapid growth of your own.",0,0,0,Full-time,,High School or equivalent,Apparel & Fashion,Accounting/Auditing,1
3724,Senior Geologist,"US, TX, Houston",,,,"Job DescriptionCompany Overview:INTECSEA is a global company within the WorleyParsons Group and offers all the Group’s capabilities for floating systems, offshore pipelines and subsea production systems. Combined with WorleyParsons Group, we offer clients complete project expertise from subsea wellhead through onshore processing and distribution. For over 25 years, INTECSEA has provided frontier technology leadership for the energy industry’s most challenging offshore field development and pipeline projects.Essential Duties and Responsibilities:Survey Lead / Lead Geologist / Lead Geophysicist providing support to projects charged with the following activities:Evaluation of survey and geoscience needs for projects.Interfacing with internal project teams, providing geo-consulting guidance to those teams.Development of scopes of work and specifications for geophysical and geotechnical site investigation.Preparation and evaluation of tender packages for geophysical and geotechnical site investigation.Management of geotechnical or geophysical contractorClient representative during offshore site investigationPreparation or management of integrated desktop and field development studies.Preparation or management of pipeline right-of-way or well site drilling and site clearance reports.Preparation of integrated studies, integrating geophysical and geotechnical data.Support INTECSEA and WorleyParsons worldwide geoscience operations.GIS-based data integration from multiple disciplines.Interpretation and reporting on geophysical and geotechnical data.Pipeline route assessment, evaluation and design.Liaises with subsea engineers on geohazards and siting conditions for subsea facilities.Subject-matter expert on geosciences to internal and external clients.Familiarity with basic geotechnical engineering principles.Business Development:Exploration and development of geosciences opportunities and staff within INTECSEAIdentifying market/client trends, potential upcoming job opportunities, and development of novel approaches or improvements to the project execution work process.Maintains contact and positive relationships with clients.Mentoring of staff.It is preferred that candidate has a general familiarity with subsea facilities and infrastructure including risers, pipelines and umbilicals, PLETs, PLEMs, UTAs, skirted foundations, suction caisson foundations, driven piles, etc.Knowledge and/or appreciation of US CFR and GOM regulatory NTLs and BOEM/MMS requirements for site clearance and permitting of wellsites and pipeline rights-of-way is a plus.","Job RequirementsTechnical Requirements:Working knowledge of: MapInfo GIS, ArcGIS, SMT Kingdom Suite 2D/3D Pak, Global Mapper, Surfer, Grapher, Terramodel, Word, Excel, PowerPoint, Triton, OIC, or other equivalent programs.Managing internal and external integrated geoscience project teams and interfaces with project engineering Leads and direct-reports to Client.Educated &amp; Experienced geologist/geophysicist with background and/or hands-on knowledge of:principles of structural geology,principles of salt and salt tectonics,principles of seismic and sequence stratigraphy,principles of single and dynamic fault environments,principles of seismicity and seismic hazards assessments,principles of 2d and 3d geophysical data, loading, interpretation, and analyses,understanding of age-dating techniques,understanding of offshore geohazards,understanding of Geographic Information Systems and application to solving geologic problems,understanding of mapping and map generation,understanding of surveying and survey data,understanding of geodetic datums, projections, and positioning,understanding of basic geotechnical engineering,general understanding of ocean currents and applicability to geologic and engineering studies (i.e. scour, etc).understanding of general offshore geophysical and geotechnical site investigation techniques,understanding of wellsite and pipeline geohazards, reporting, and permitting processes,large desktop studies for regional or local pipeline or field development,basic understanding of quantifying geo-risk to subsea projects.understanding of geologic processes such as slope stability, mass-transport, etc.multi-phased, inter-disciplinary, deepwater field development studies.Evolving trends and techniques in deepwater geology, interpretation, and geohazards.Experienced with providing reports and presentations to internal or client peer assists on results and relevance to deepwater engineering projects.Good public speaking and public interaction skills.Able to work both within teams and as self-starter/self-manager.Innovative and motivated.MSc or Ph.D. preferred in Geology or Geophysics, or, BSc in Geology or Geophysics with 7-10 years of experience with the following:Working knowledge of: MapInfo GIS, ArcGIS, SMT Kingdom Suite 2D/3D Pak, Global Mapper, Surfer, Grapher, Terramodel, Word, Excel, PowerPoint, Triton, OIC, or other equivalent #URL_a3e3b09f07536a3c0e5d3ea7e4c7e147572a5164bdf03bafb25a7a29b3bda51a#",,0,0,0,Full-time,,Master's Degree,Oil & Energy,Engineering,1
5059,Receptionist and Office Assistant ,"US, TX, San Antonio ",,1000-2000,,"DUTIES INCLUDE BUT ARE NOT LIMITED TO:Perform all components of call processing, and adheres to Call Audit Tool.Reviews calls with Manager to meet Call Audit requirements.Performs accurate data entry at time of call.Communicates appropriately and clearly to departmental management, co-workers and callers.Treat callers with respect and dignity; ensures confidentiality of each person's data.Speak with a pleasant, professional telephone voice.Responsible for reviewing productivity stats/information as communicated by your Manager.Ensures that performance standards for hold time are met.  (less than 2 minutes on average).Ensures that performance standards for abandonment rate are met.  (less than 5% of total calls received).Ensures that performance standards for hold time are met.  (less than 2 minutes on average)Responsible for knowing addresses, telephone numbers, hospital services and classes offered.Document all inquires for statistical purposes.Maintain confidentiality of all interactions.Document call tracking information.Keep self and telephone available for calls unless otherwise assigned.Accurately and completely registers callers for classes.Able to discuss with callers the hospital services, directions, etc.Ensure that call documentation meets current standards and policies.Performs other specific duties as assigned by Manager (examples include sending rosters, processing daily mail - both incoming and outgoing, calling registrants with changes, updates and cancellations, etc.)Demonstrates knowledge of eCentaurus  which enables CSR to assist callers as quickly as possible.Practice and adhere to the ""Code of Conduct"" philosophy and ""Mission and Value Statement""Other duties as assigned.  ","Qualifications KNOWLEDGE, SKILLS &amp; ABILITIESCommunication - communicates clearly and concisely, verbally and in writingCustomer orientation - establishes and maintains long-term customer relationships, building trust and respect by consistently meeting and exceeding expectationsInterpersonal skills - able to work effectively with other employees, patients and external partiesPC skills - demonstrates proficiency in PC applications as requiredPolicies &amp; Procedures - demonstrates knowledge and understanding of organizational policies, procedures and systemsBasic skills  - able to perform basic mathematical calculations, balance and reconcile figures, punctuate properly, spell correctly and transcribe accurately EDUCATIONHigh school diploma or GED required EXPERIENCEAt least one year work experience required.Relevant education may substitute experience requirement","Our compensation package includes paid vacation, medical benefits, matching IRA, etc.",0,0,0,Full-time,Mid-Senior level,Master's Degree,Food Production,Administrative,1
